city,zone,label,lat,lon,capacity,occupancy
Mumbai,Borivali,Karuna Hospital,19.24127,72.85309,97,0
Mumbai,Borivali,Mary Immaculate primary Girls School,19.23954,72.85289,774,0
Mumbai,Borivali,St Francis D'Assissi High School,19.24402,72.85299,2323,0
Mumbai,Borivali,Don Bosco School,19.23081,72.84216,4758,0
Mumbai,Borivali,ST Lawrence High School,19.2401,72.84714,994,0
Mumbai,Borivali,JBCN International School Borivali,19.24816,72.85456,1725,0
Mumbai,Borivali,M. M Medicial Clinic and OPD,19.24864,72.85031,74,0
Mumbai,Borivali,Designated School (Borivali),19.23147,72.84334,123,0
Mumbai,Dahisar,JBCN International School Borivali,19.24816,72.85456,1725,0
Mumbai,Dahisar,M. M Medicial Clinic and OPD,19.24864,72.85031,74,0
Mumbai,Dahisar,Designated School (Dahisar),19.26131,72.8768,1012,0
Mumbai,Dahisar,Designated School (Dahisar),19.277,72.8688,962,0
Mumbai,Dahisar,Designated Community Centre (Dahisar),19.27522,72.86142,166,0
Mumbai,Dahisar,Shanti Nagar Highschool Ground,19.27815,72.85986,1537,0
Mumbai,Dahisar,Designated Community Centre (Dahisar),19.27895,72.86213,92,0
Mumbai,Magathane,Yojana Vidyalaya,19.22326,72.86578,532,0
Mumbai,Magathane,Designated School (Magathane),19.21563,72.87634,2895,0
Mumbai,Mulund,Mental Hospital,19.18069,72.96183,8100,0
Mumbai,Mulund,Mayuresh Residency,19.15889,72.936,2336,0
Mumbai,Mulund,Designated Community Centre (Mulund),19.16691,72.94478,197,0
Mumbai,Mulund,TMC School No 16 and No 3,19.17698,72.96961,514,0
Mumbai,Mulund,Aarya Samaj Hall,19.16632,72.95011,284,0
Mumbai,Mulund,Designated Community Centre (Mulund),19.17058,72.95226,143,0
Mumbai,Mulund,Mahajan Wadi,19.17209,72.95473,575,0
Mumbai,Mulund,Saraswat Wadi,19.17142,72.95406,458,0
Mumbai,Mulund,Nalanda Public School,19.17405,72.97127,567,0
Mumbai,Mulund,Brahmandeshwar Hall,19.16595,72.95051,261,0
Mumbai,Mulund,Kalidas Hall,19.17248,72.94839,245,0
Mumbai,Mulund,St. John's High School,19.19522,72.9756,2593,0
Mumbai,Mulund,Fortis Hospitals,19.16161,72.9417,544,0
Mumbai,Mulund,ESIS Hospital,19.18014,72.94411,3983,0
Mumbai,Mulund,St. Pius X High School,19.16578,72.94729,1608,0
Mumbai,Mulund,St. Mary's Convent,19.16612,72.94467,2330,0
Mumbai,Mulund,Suvidha Shankar Gokhale Memorial Hall,19.16792,72.95188,872,0
Mumbai,Mulund,Laxmibai School,19.16715,72.96401,599,0
Mumbai,Mulund,V.D. SAWARKAR HOSPITAL,19.17169,72.96036,96,0
Mumbai,Mulund,NES National Public School,19.17962,72.94021,838,0
Mumbai,Mulund,S.E.S. High School and Junior College,19.19444,72.96756,695,0
Mumbai,Mulund,Mulund College of Commerce - MCC,19.17536,72.95817,608,0
Mumbai,Mulund,Vani Vidyalaya,19.16967,72.95398,457,0
Mumbai,Mulund,Mulund Vidya Mandir,19.1693,72.95375,321,0
Mumbai,Mulund,Designated School (Mulund),19.17314,72.94558,668,0
Mumbai,Mulund,Vidyaben D. Gardi High School and Junior College,19.17076,72.94621,742,0
Mumbai,Mulund,"Sri Sri Ravishankar Vidya Mandir,",19.16548,72.9459,696,0
Mumbai,Mulund,Goshala Municipal School,19.16819,72.94906,886,0
Mumbai,Mulund,Hira-Mongi Navneet Hospital,19.17093,72.95022,112,0
Mumbai,Mulund,Municipal School,19.17402,72.94978,1068,0
Mumbai,Mulund,Dayanand High School & Junior College,19.17634,72.94998,615,0
Mumbai,Mulund,Community Hall,19.16573,72.93553,815,0
Mumbai,Mulund,Shiva Samarth School Ground,19.19397,72.97332,299,0
Mumbai,Mulund,Sri Guru Nanak Sachkhand Darbar Dharamsheel Community Hall,19.17462,72.9375,632,0
Mumbai,Mulund,Vamanraow Muranjan Junior College,19.1742,72.9672,1344,0
Mumbai,Mulund,Raheja Gardens Club House,19.18693,72.9593,188,0
Mumbai,Mulund,Raheja Gardens Club House,19.18679,72.95949,63,0
Mumbai,Mulund,Raheja Gardens Club House,19.18664,72.95941,144,0
Mumbai,Mulund,Billabong International High School,19.19255,72.94674,836,0
Mumbai,Mulund,Designated School (Mulund),19.18942,72.94889,577,0
Mumbai,Mulund,veena nagar bmc school,19.18272,72.94343,340,0
Mumbai,Mulund,NES Internation School,19.17987,72.93965,572,0
Mumbai,Mulund,Designated School (Mulund),19.16793,72.94012,395,0
Mumbai,Mulund,Holy Angels Marthoma School,19.16287,72.94232,166,0
Mumbai,Mulund,Sheth Karamshi Kanji English School,19.17023,72.95035,488,0
Mumbai,Mulund,Purandare School,19.17017,72.94949,602,0
Mumbai,Mulund,Designated Hospital (Mulund),19.18814,72.96553,191,0
Mumbai,Mulund,Shri Dasmesh Public School,19.17653,72.93685,481,0
Mumbai,Mulund,Hanumanpada School,19.17662,72.93605,135,0
Mumbai,Mulund,Mulund Camp BMC School,19.17547,72.93661,450,0
Mumbai,Mulund,Mumbai Public School Nahur Village,19.16389,72.94736,194,0
Mumbai,Mulund,Govt School,19.17371,72.96292,96,0
Mumbai,Mulund,Mumbai Public School,19.17322,72.96281,162,0
Mumbai,Mulund,Billabong High International School,19.1713,72.93478,585,0
Mumbai,Vikhroli,Environmental Science & Engineering,19.13238,72.91834,133,0
Mumbai,Vikhroli,Lecture Hall,19.13077,72.91671,1757,0
Mumbai,Vikhroli,Department of Physics,19.13027,72.91666,658,0
Mumbai,Vikhroli,Department of Metalurgical and Material Science Engineering,19.13122,72.9166,342,0
Mumbai,Vikhroli,Dr. L. H. Hiranandani Hospital,19.12044,72.91708,360,0
Mumbai,Vikhroli,National Centre for Aerospace Innovation and Research,19.13486,72.91786,228,0
Mumbai,Vikhroli,Vikas College,19.11857,72.93905,1013,0
Mumbai,Vikhroli,Vidya Mandir School & College,19.11716,72.93473,812,0
Mumbai,Vikhroli,Rajiv Gandhi Maidan,19.12131,72.93151,1448,0
Mumbai,Vikhroli,Designated School (Vikhroli),19.10153,72.92763,2433,0
Mumbai,Vikhroli,Designated School (Vikhroli),19.10175,72.92782,5538,0
Mumbai,Vikhroli,"Godrej Memorial Hospital, Mumbai",19.10399,72.92781,853,0
Mumbai,Vikhroli,Designated Community Centre (Vikhroli),19.10254,72.92672,273,0
Mumbai,Vikhroli,Designated School (Vikhroli),19.111,72.91595,521,0
Mumbai,Vikhroli,BMC School (Abandoned),19.10741,72.91691,1391,0
Mumbai,Vikhroli,RM Lab,19.13376,72.91891,174,0
Mumbai,Vikhroli,Ortho Cad Lab,19.13407,72.91892,181,0
Mumbai,Vikhroli,CAD Centre,19.13217,72.91859,118,0
Mumbai,Vikhroli,Thermodynamics lab,19.13479,72.91759,104,0
Mumbai,Vikhroli,GeoTechnical Engg. Lab,19.13509,72.91666,86,0
Mumbai,Vikhroli,Hydraulics Lab Workshop,19.1348,72.91644,64,0
Mumbai,Vikhroli,SRE Substation Unit,19.13461,72.91597,72,0
Mumbai,Vikhroli,Steam Power Lab,19.13469,72.91735,99,0
Mumbai,Vikhroli,Structural Evaluation & Material Testing Lab,19.13479,72.91713,156,0
Mumbai,Vikhroli,Metal Forming Lab,19.13479,72.91696,176,0
Mumbai,Vikhroli,Hydraulics Lab,19.13476,72.91663,193,0
Mumbai,Vikhroli,Energy Systems Lab,19.13468,72.91624,124,0
Mumbai,Vikhroli,Kendriya Vidyalaya IIT Powai,19.12904,72.91825,3388,0
Mumbai,Vikhroli,Kendriya Vidyalaya Bhandup,19.12598,72.92379,1540,0
Mumbai,Vikhroli,Municipalty School,19.11453,72.93682,443,0
Mumbai,Vikhroli,Asmita College,19.11998,72.93911,394,0
Mumbai,Vikhroli,Shushrusha Hospital,19.11213,72.9346,156,0
Mumbai,Vikhroli,St. Josephs High School,19.11042,72.9273,975,0
Mumbai,Bhandup West,Guru Nanak English Academy,19.14667,72.92954,419,0
Mumbai,Bhandup West,Navjeevan Vidya Mandir,19.15186,72.93021,231,0
Mumbai,Bhandup West,Mayuresh Residency,19.15889,72.936,2336,0
Mumbai,Bhandup West,Paranjpe Sahabhagruha,19.13621,72.93529,120,0
Mumbai,Bhandup West,Fortis Hospitals,19.16161,72.9417,544,0
Mumbai,Bhandup West,Navjeevan Junior College,19.15219,72.93079,1589,0
Mumbai,Bhandup West,Holy Angels Marthoma School,19.16287,72.94232,166,0
Mumbai,Bhandup West,Rajaramsheth Vidyalaya,19.16371,72.93072,654,0
Mumbai,Bhandup West,Gujarati Seva Mandal,19.14959,72.93678,142,0
Mumbai,Bhandup West,Designated School (Bhandup West),19.14637,72.93071,326,0
Mumbai,Bhandup West,Parag Vidyalaya And Semi English High School,19.14674,72.93057,593,0
Mumbai,Bhandup West,Sahayadri Vidya Mandir,19.14643,72.93018,451,0
Mumbai,Bhandup West,Designated School (Bhandup West),19.1495,72.93562,501,0
Mumbai,Bhandup West,Designated School (Bhandup West),19.14927,72.9361,334,0
Mumbai,Bhandup West,N.E.S. high school,19.14902,72.93584,363,0
Mumbai,Bhandup West,Mumbai Public School,19.1599,72.93289,486,0
Mumbai,Bhandup West,Designated Community Centre (Bhandup West),19.16463,72.92954,118,0
Mumbai,Bhandup West,Mumbai Public School Nahur Village,19.16389,72.94736,194,0
Mumbai,Bhandup West,Designated Community Centre (Bhandup West),19.13621,72.93529,120,0
Mumbai,Jogeshwari East,Holy Spirit Hospital,19.12837,72.86634,2051,0
Mumbai,Jogeshwari East,St. Dominic Savio High School,19.12726,72.86507,5077,0
Mumbai,Jogeshwari East,Canossa High School,19.12598,72.86522,6947,0
Mumbai,Jogeshwari East,Oberoi International School - JVLR Campus,19.14026,72.86755,1269,0
Mumbai,Dindoshi,Designated School (Dindoshi),19.18826,72.86549,192,0
Mumbai,Dindoshi,Oberoi International School - OGC Campus,19.16988,72.86658,4632,0
Mumbai,Dindoshi,Radha Krishna Hospital,19.17257,72.87395,54,0
Mumbai,Dindoshi,Indira Gandhi Institute of Development Research,19.16688,72.87856,9823,0
Mumbai,Dindoshi,Gokuldham School,19.17412,72.86789,264,0
Mumbai,Dindoshi,Lakshdham High School,19.16896,72.87085,1327,0
Mumbai,Dindoshi,Designated School (Dindoshi),19.17288,72.8761,255,0
Mumbai,Dindoshi,Sharada Gyam Peeth International School,19.19265,72.85586,703,0
Mumbai,Kandivali East,Gundecha ground,19.21182,72.87725,367,0
Mumbai,Kandivali East,Designated School (Kandivali East),19.20945,72.86253,242,0
Mumbai,Kandivali East,Yojana Vidyalaya,19.22326,72.86578,532,0
Mumbai,Kandivali East,Designated School (Kandivali East),19.21563,72.87634,2895,0
Mumbai,Charkop,KES College Ground,19.20184,72.8466,855,0
Mumbai,Charkop,Gyanvardini School Ground,19.22194,72.83013,570,0
Mumbai,Charkop,Our Lady of Lourdes Church & St.Annes School Compound,19.19471,72.83738,2121,0
Mumbai,Charkop,St. Joseph's School Compound,19.19494,72.83662,436,0
Mumbai,Charkop,Assumption Hall,19.20665,72.83921,172,0
Mumbai,Charkop,Designated School (Charkop),19.21266,72.82821,106,0
Mumbai,Charkop,Sardar Vallabhbhai Patel Vividhlakshi Vidyalaya,19.20312,72.84568,72,0
Mumbai,Charkop,Designated College (Charkop),19.21495,72.84498,68,0
Mumbai,Charkop,Vanzawadi,19.20312,72.84267,282,0
Mumbai,Charkop,municipalty school ground,19.22096,72.83169,312,0
Mumbai,Charkop,Haryana Bhavan,19.22147,72.83438,1216,0
Mumbai,Charkop,Designated College (Charkop),19.19751,72.82577,249,0
Mumbai,Charkop,oxford public school,19.21768,72.82531,452,0
Mumbai,Charkop,Designated School (Charkop),19.2021,72.84591,168,0
Mumbai,Charkop,Dr.Babasaheb Ambedkar Bmc General Hospital,19.20866,72.85163,1830,0
Mumbai,Malad West,Designated School (Malad West),19.18862,72.84122,357,0
Mumbai,Malad West,St. Judes High School,19.19751,72.82006,329,0
Mumbai,Malad West,"St. Joseph's School, Orlem",19.19481,72.8367,91,0
Mumbai,Malad West,Our Lady of Lourdes Church & St.Annes School Compound,19.19471,72.83738,2121,0
Mumbai,Malad West,St. Joseph's School Compound,19.19494,72.83662,436,0
Mumbai,Malad West,Vanzawadi,19.20312,72.84267,282,0
Mumbai,Malad West,Designated College (Malad West),19.19751,72.82577,249,0
Mumbai,Malad West,Ryan International School ground (CBSE),19.1914,72.83307,125,0
Mumbai,Malad West,BMC School,19.18639,72.81962,1762,0
Mumbai,Malad West,Government Hospita,19.18544,72.81916,95,0
Mumbai,Malad West,Shri Balaji International School,19.19428,72.83525,184,0
Mumbai,Goregaon,Designated School (Goregaon),19.16288,72.85508,1276,0
Mumbai,Goregaon,Masurashram,19.17218,72.84974,209,0
Mumbai,Goregaon,VIBGYOR High School CBSE,19.15948,72.83604,530,0
Mumbai,Goregaon,A.B.Goregaonkar English School,19.16736,72.84711,1312,0
Mumbai,Goregaon,Patkar College of Science,19.16708,72.84587,200,0
Mumbai,Goregaon,Keshav Gore Smarak,19.16695,72.84635,518,0
Mumbai,Goregaon,Designated School (Goregaon),19.14584,72.84469,813,0
Mumbai,Versova,Wadia school,19.1267,72.8346,1600,0
Mumbai,Versova,sathya udaiyar,19.13125,72.82426,332,0
Mumbai,Versova,Central Institute of Fisheries Education,19.13933,72.81642,12666,0
Mumbai,Versova,Navjeevan Charitable Trust,19.13719,72.81235,97,0
Mumbai,Versova,Hussain Allana English School,19.14399,72.82967,691,0
Mumbai,Versova,Gyan Kendra Higher Secondary School,19.13235,72.82486,2768,0
Mumbai,Versova,Vimala Dermatological Centra,19.13779,72.80952,468,0
Mumbai,Versova,Jankidevi Public School,19.13929,72.81957,1100,0
Mumbai,Versova,Rajiv Gandhi Institute Of Technology,19.12137,72.82375,421,0
Mumbai,Versova,Oriental College,19.14336,72.83233,201,0
Mumbai,Versova,Saint Mary's High School,19.13528,72.82079,838,0
Mumbai,Versova,Ashok Academy School,19.14142,72.82759,69,0
Mumbai,Versova,Khubchandani Hospital,19.11937,72.83538,621,0
Mumbai,Versova,Sardar Patel College of Engineering,19.12337,72.83549,2520,0
Mumbai,Versova,Hansraj Morarji Public School,19.1222,72.83345,2035,0
Mumbai,Versova,Bai Kabibai & Hansraj Moraraji Trust Andheri Campus,19.12179,72.83535,20259,0
Mumbai,Versova,Jankidevi Public School,19.13942,72.81948,1442,0
Mumbai,Versova,Kamaladevi Jain High School,19.13316,72.82853,373,0
Mumbai,Versova,Mumbai Public School,19.12371,72.82932,596,0
Mumbai,Andheri West,Chatrabhuj Narsee Monjee School,19.10667,72.84144,1893,0
Mumbai,Andheri West,M A Government School,19.11652,72.84522,1213,0
Mumbai,Andheri West,Wadia school,19.1267,72.8346,1600,0
Mumbai,Andheri West,Ismail Yusuf College,19.13339,72.85235,38313,0
Mumbai,Andheri West,sathya udaiyar,19.13125,72.82426,332,0
Mumbai,Andheri West,Utpal Sanghvi School,19.11222,72.8284,759,0
Mumbai,Andheri West,Gyan Kendra Higher Secondary School,19.13235,72.82486,2768,0
Mumbai,Andheri West,Saint Joseph's High School,19.10628,72.8267,2134,0
Mumbai,Andheri West,Vidyanidhi School,19.11175,72.83284,803,0
Mumbai,Andheri West,Ismail Yusuf College,19.13352,72.85406,770,0
Mumbai,Andheri West,Pace Junior Science College,19.12036,72.8453,323,0
Mumbai,Andheri West,Khubchandani Hospital,19.11937,72.83538,621,0
Mumbai,Andheri West,Jamnabai Narsee School,19.10522,72.83234,2544,0
Mumbai,Andheri West,Sir Sorabji Pochkhanawala Bankers Training College,19.10966,72.8352,2160,0
Mumbai,Andheri West,SVKM,19.1076,72.83751,2661,0
Mumbai,Andheri West,Mukesh Patel School of Technology Management and Engineering,19.11007,72.83776,833,0
Mumbai,Andheri West,S. P. Jain Institute of Management and Research,19.12377,72.83699,2771,0
Mumbai,Andheri West,Bhavan's College,19.12519,72.83597,2633,0
Mumbai,Andheri West,Sardar Patel Institute of Technology,19.12311,72.83604,437,0
Mumbai,Andheri West,Sardar Patel College of Engineering,19.12337,72.83549,2520,0
Mumbai,Andheri West,Hansraj Morarji Public School,19.1222,72.83345,2035,0
Mumbai,Andheri West,Bai Kabibai & Hansraj Moraraji Trust Andheri Campus,19.12179,72.83535,20259,0
Mumbai,Andheri West,Shree Ram Welfare High School,19.11805,72.84089,510,0
Mumbai,Andheri West,Kamaladevi Jain High School,19.13316,72.82853,373,0
Mumbai,Andheri West,hehehe,19.11048,72.84203,86,0
Mumbai,Andheri West,Mumbai Public School,19.12371,72.82932,596,0
Mumbai,Andheri East,Holy Spirit Hospital,19.12837,72.86634,2051,0
Mumbai,Andheri East,St. Dominic Savio High School,19.12726,72.86507,5077,0
Mumbai,Andheri East,St. John The Evangelist High School,19.11242,72.87546,1672,0
Mumbai,Andheri East,Holy Family High School,19.11725,72.86193,3982,0
Mumbai,Andheri East,Indian Institute of Packaging - IIP Mumbai,19.121,72.86739,6411,0
Mumbai,Andheri East,Canossa High School,19.12598,72.86522,6947,0
Mumbai,Andheri East,Bombay Cambridge International School,19.10539,72.86227,312,0
Mumbai,Vile Parle,Chatrabhuj Narsee Monjee School,19.10667,72.84144,1893,0
Mumbai,Vile Parle,Narsee Monjee College of Commerce,19.10366,72.8373,226,0
Mumbai,Vile Parle,Parle Tilak English School,19.10351,72.84796,171,0
Mumbai,Vile Parle,Parle Tilak Marathi School,19.10376,72.84772,158,0
Mumbai,Vile Parle,G.B.E.S. School,19.10401,72.84907,75,0
Mumbai,Vile Parle,Parle Tilak Vidyalaya (ICSC Board),19.10349,72.84702,193,0
Mumbai,Vile Parle,PTV Marathi medium,19.10418,72.84769,185,0
Mumbai,Vile Parle,Dahanukar College of Commerce,19.09875,72.85156,454,0
Mumbai,Vile Parle,Bombay Cambridge International School,19.10539,72.86227,312,0
Mumbai,Vile Parle,Sir Sorabji Pochkhanawala Bankers Training College,19.10966,72.8352,2160,0
Mumbai,Vile Parle,SVKM,19.1076,72.83751,2661,0
Mumbai,Vile Parle,Mithibai College of Arts and Jitendra Chauhan College of Science,19.10299,72.83743,1585,0
Mumbai,Vile Parle,Mukesh Patel School of Technology Management and Engineering,19.11007,72.83776,833,0
Mumbai,Vile Parle,hehehe,19.11048,72.84203,86,0
Mumbai,Chandivali,Hiranandani School New,19.11332,72.90528,1277,0
Mumbai,Chandivali,Hiranandani Foundation School,19.11767,72.90779,1631,0
Mumbai,Chandivali,Designated School (Chandivali),19.12379,72.88853,700,0
Mumbai,Chandivali,Indian Educational Society School,19.1283,72.88653,1918,0
Mumbai,Chandivali,IIT Hospital,19.13076,72.91425,500,0
Mumbai,Chandivali,Nahar International School,19.10615,72.89607,2594,0
Mumbai,Chandivali,Nirali A M Naik Charitable Health-Care Facility,19.12117,72.89144,93,0
Mumbai,Chandivali,Passpoli Municipal School,19.12614,72.89498,1412,0
Mumbai,Chandivali,St Anthony's High School,19.10554,72.8931,686,0
Mumbai,Ghatkopar West,Shivaji Shikshan Sanstha High School,19.0841,72.91341,1384,0
Mumbai,Ghatkopar West,Fatima High School,19.08277,72.8987,6692,0
Mumbai,Ghatkopar West,Marathi Municipal school,19.07574,72.90572,304,0
Mumbai,Ghatkopar West,SNDT College,19.084,72.90441,586,0
Mumbai,Ghatkopar West,Designated College (Ghatkopar West),19.08733,72.9097,774,0
Mumbai,Ghatkopar West,jansava hospital,19.07962,72.92126,11934,0
Mumbai,Ghatkopar West,Sarvodaya Hospital,19.09029,72.90688,1350,0
Mumbai,Ghatkopar East,Shivaji Shikshan Sanstha High School,19.0841,72.91341,1384,0
Mumbai,Ghatkopar East,Holy Family High School,19.07128,72.9063,618,0
Mumbai,Ghatkopar East,Rajeev Gandhi Medical Centre,19.06912,72.92224,195,0
Mumbai,Ghatkopar East,Bhairav Vidyalay,19.07147,72.91584,160,0
Mumbai,Ghatkopar East,Marathi Municipal school,19.07574,72.90572,304,0
Mumbai,Ghatkopar East,Vidya Bhavan,19.07221,72.90665,1411,0
Mumbai,Ghatkopar East,Designated College (Ghatkopar East),19.08733,72.9097,774,0
Mumbai,Ghatkopar East,jansava hospital,19.07962,72.92126,11934,0
Mumbai,Ghatkopar East,Sarvodaya Hospital,19.09029,72.90688,1350,0
Mumbai,Mankhurd Shivaj,Chikalwadi BMC School - 3,19.06162,72.92879,849,0
Mumbai,Mankhurd Shivaj,Sanjay Nagar Municipal School,19.06435,72.92597,797,0
Mumbai,Mankhurd Shivaj,BMC School no 1,19.06234,72.91886,1061,0
Mumbai,Mankhurd Shivaj,Gyan Sampada High School,19.06119,72.92085,839,0
Mumbai,Mankhurd Shivaj,Municipal School,19.06119,72.9231,843,0
Mumbai,Mankhurd Shivaj,Rajeev Gandhi Medical Centre,19.06912,72.92224,195,0
Mumbai,Mankhurd Shivaj,Geeta Vikas High School,19.06252,72.92199,604,0
Mumbai,Mankhurd Shivaj,Marriage Hall,19.06228,72.92216,297,0
Mumbai,Mankhurd Shivaj,Municipal High School,19.06275,72.91962,1168,0
Mumbai,Mankhurd Shivaj,Bhairav Vidyalay,19.07147,72.91584,160,0
Mumbai,Mankhurd Shivaj,Kumud Vidyamandir,19.05075,72.92149,895,0
Mumbai,Mankhurd Shivaj,New Model English High Schood,19.05311,72.92202,286,0
Mumbai,Mankhurd Shivaj,Municipalty School,19.05206,72.92269,881,0
Mumbai,Mankhurd Shivaj,Shivaji Nagar Muncipal Hospital,19.063,72.91902,133,0
Mumbai,Anushakti Nagar,Nutan Vidya Mandir,19.0417,72.93141,1254,0
Mumbai,Anushakti Nagar,Homi Bhabha Centre for Science Education,19.04231,72.92763,3161,0
Mumbai,Anushakti Nagar,Atomic Energy Central School V,19.03807,72.93324,1736,0
Mumbai,Anushakti Nagar,Atomic Energy Junior College,19.03684,72.91889,2351,0
Mumbai,Anushakti Nagar,New Community Center,19.03739,72.92634,788,0
Mumbai,Anushakti Nagar,Kumud Vidyamandir,19.05075,72.92149,895,0
Mumbai,Anushakti Nagar,New Model English High Schood,19.05311,72.92202,286,0
Mumbai,Anushakti Nagar,Municipalty School,19.05206,72.92269,881,0
Mumbai,Anushakti Nagar,Trombay Township Fine Arts Club (TTFAC),19.03884,72.92412,61,0
Mumbai,Anushakti Nagar,Atomic Energy Central School 1 Grounds,19.03987,72.92009,820,0
Mumbai,Anushakti Nagar,Atomic Energy Junior College Grounds,19.03761,72.91959,1459,0
Mumbai,Anushakti Nagar,AECS 4,19.03459,72.92797,3116,0
Mumbai,Anushakti Nagar,Atomic Energy Central School 2,19.03672,72.92666,3024,0
Mumbai,Anushakti Nagar,Indradhanush Cultural Centre,19.03479,72.92693,1647,0
Mumbai,Anushakti Nagar,Shakuntalam,19.04244,72.91809,1040,0
Mumbai,Anushakti Nagar,Shahaji Nagar Municipal Public School,19.03863,72.945,705,0
Mumbai,Chembur,Dr. Babasaheb Ambedkar High School AND GRAND NALANDA HALL,19.06365,72.90018,660,0
Mumbai,Chembur,St. Gregorios High School,19.05027,72.90253,540,0
Mumbai,Chembur,St. Anthony's Girls High School,19.05541,72.90326,1321,0
Mumbai,Chembur,General Education Academy,19.05987,72.89932,264,0
Mumbai,Chembur,saraswati vidyalaya school....,19.05665,72.89896,270,0
Mumbai,Chembur,Maa General Hospital,19.06198,72.8965,117,0
